q	pval	q_NoSign	pval_NoSign	nsnp	dataset	gwas	contrasts	L	phenotype	covar	pc
0.899413217897671	0.368432601269784	0.254605734893574	0.799027629331177	892	HGDP1KG	q2	eas-amr	pruneall	StandingHeight	FGr-LOCO	0
0.511318516463068	0.609128041353829	-0.525062208004984	0.599539946720709	786	HGDP1KG	q2	eas-amr	pruneall	StandingHeight	FGr-LOCO	40
35.4245370304952	7.15633011264068e-275	50.8418364704219	0	1450	HGDP1KG	q2	nfe-sas	pruneall	StandingHeight	no-FGr	0
-1.17259909209896	0.240956613674815	-0.64153810961814	0.521173129005255	792	HGDP1KG	q2	nfe-sas	pruneall	StandingHeight	no-FGr	40
-1.27046841046093	0.203917828371578	-0.410905068112385	0.681142146030182	868	HGDP1KG	q2	nfe-sas	pruneall	StandingHeight	FGr-LOCO	0
-1.08990454715981	0.275755193373916	-0.516809830795884	0.605288916770977	792	HGDP1KG	q2	nfe-sas	pruneall	StandingHeight	FGr-LOCO	40
20.2152987307414	7.18092929351407e-91	25.6014025744659	1.47165567271711e-144	1450	HGDP1KG	q2	nfe-afr	pruneall	StandingHeight	no-FGr	0
-1.80059586756055	0.0717666009943313	-1.4017946887715	0.160976564949373	784	HGDP1KG	q2	nfe-afr	pruneall	StandingHeight	no-FGr	40
-1.71222091763614	0.0868559640080297	-0.772231491441859	0.439977333036857	1180	HGDP1KG	q2	nfe-afr	pruneall	StandingHeight	FGr-LOCO	0
-2.06181926953959	0.0392249457872452	-1.97702779980662	0.0480384879245872	789	HGDP1KG	q2	nfe-afr	pruneall	StandingHeight	FGr-LOCO	40
22.0127789785398	2.17258585045966e-107	26.6806830134132	7.88770739863119e-157	1450	HGDP1KG	q2	nfe-amr	pruneall	StandingHeight	no-FGr	0
-0.292910821370735	0.769590317196825	0.310495984364973	0.756183812711843	789	HGDP1KG	q2	nfe-amr	pruneall	StandingHeight	no-FGr	40
