D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	L
0.000526865173101655	1.0000100001e-05	4.78647942277648e-10	1.07051532402238e-123	0.000526865173101655	99999	2.81311774867693e-12	3.10198226237507e-10	0.00906877445044779	0.990931225549552	HGDP1KG	e200	eur-lat	pruneall
0.000503265222027103	1.0000100001e-05	4.36731064727925e-10	1.78094982409206e-123	0.000503265222027103	99999	2.07495161747657e-12	2.96303470356185e-10	0.00700279215421366	0.992997207845786	HGDP1KG	e200	eur-long	pruneall
4.30320052491343e-05	1.0000100001e-05	3.19158037124122e-12	1.24885036498297e-76	4.30320052491343e-05	99999	3.30329629747314e-12	2.47007010637707e-11	0.133732896444716	0.866267103555284	HGDP1KG	e200	sdi-eur	pruneall
0.00425220659329839	1.0000100001e-05	3.11794228923208e-08	7.67765256803764e-128	0.00425220659329839	99999	5.33904167695818e-12	3.17133600081919e-09	0.00168353075031439	0.998316469249686	HGDP1KG	e200	eas-nfe	pruneall
0.00196657189097687	1.0000100001e-05	6.6689412632868e-09	3.72934018514893e-127	0.00196657189097687	99999	4.57754832108866e-12	1.46668796522802e-09	0.00312101035094877	0.996878989649051	HGDP1KG	e200	eas-sas	pruneall
0.00869520837087546	1.0000100001e-05	1.30376981955467e-07	3.82869378487589e-128	0.00869520837087546	99999	4.68382703093312e-12	6.48496885937798e-09	0.000722258985740509	0.999277741014259	HGDP1KG	e200	eas-afr	pruneall
0.00202321014380636	1.0000100001e-05	7.05861574648051e-09	3.4354906383911e-127	0.00202321014380636	99999	4.3490042986413e-12	1.50892931128698e-09	0.00288217895040557	0.997117821049594	HGDP1KG	e200	eas-amr	pruneall
0.00438074937280404	1.0000100001e-05	3.30929722600404e-08	7.37469471546769e-128	0.00438074937280404	99999	6.06160208404852e-12	3.26720442474151e-09	0.00185528705768941	0.998144712942311	HGDP1KG	e200	nfe-sas	pruneall
0.0151128687233167	1.0000100001e-05	3.93853854522148e-07	2.88438057162261e-128	0.0151128687233167	99999	5.65901907217712e-12	1.12713208086937e-08	0.000502072398455048	0.999497927601545	HGDP1KG	e200	nfe-afr	pruneall
0.00313738643694554	1.0000100001e-05	1.69736240291772e-08	1.24518916281847e-127	0.00313738643694554	99999	5.1748770961726e-12	2.33989255640784e-09	0.00221158748593012	0.99778841251407	HGDP1KG	e200	nfe-amr	pruneall
0.012657071822843	1.0000100001e-05	2.76253467965191e-07	3.10749051854721e-128	0.012657071822843	99999	5.0533192464392e-12	9.43976419207798e-09	0.000535322614380563	0.999464677385619	HGDP1KG	e200	sas-afr	pruneall
0.000449275017948361	1.0000100001e-05	3.48054136422187e-10	6.93446578287812e-123	0.000449275017948361	99999	4.22816038718167e-12	3.35073568846316e-10	0.012618603137632	0.987381396862368	HGDP1KG	e200	sas-amr	pruneall
0.0123592043041889	1.0000100001e-05	2.63403909969679e-07	3.14191106063524e-128	0.0123592043041889	99999	5.17797843060225e-12	9.21761177199776e-09	0.000561748374598773	0.999438251625401	HGDP1KG	e200	afr-amr	pruneall
