D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	gammaF	dataset	gwas	contrasts	L
16625479.8017808	9999	476633532690	2.77580415716287e-128	0.00166271591431915	9998990001	5.96577671142801e-12	1.66271757703673e-09	0.00358796755012365	0.996412032449876	0.999987126488859	HGDP	q4	Long	1000000
22375187.2108418	9999	863315789198	2.53776326586095e-128	0.0016602113973746	13477312134	4.23294702758308e-12	1.23173327124106e-09	0.00343657764746266	0.996563422352537	0.999988189934073	HGDP	q4	Long	pruneall
130350948.101065	9999	29297918890922	2.00895763772677e-128	0.00185142583551296	70405708725	2.10244241607543e-12	2.62939004017449e-10	0.00799593207531854	0.992004067924681	0.999936065070247	HGDP	q4	Long	all
8342200.22878158	486669	154693128389	4.74406228233649e-89	0.0171414251344992	486669000	9.266667196907e-07	1.71414251344991e-05	0.0540600744932041	0.945939925506796	0.997077508345789	HGDP	ALL	AFRICA-EUROPE	1000
22075541.6927905	486669	858250036397	2.03786763045252e-120	0.0143455043095187	1538847378	9.62602561827922e-08	4.53684513267511e-06	0.0212174437010225	0.978782556298978	0.999549820082794	HGDP	ALL	AFRICA-EUROPE	3162
69148461.99731	486669	8260209313889	1.93666657133525e-126	0.0142085199585981	4866690000	1.05511207929961e-08	1.42085199585981e-06	0.00742591123054388	0.992574088769456	0.999944855842396	HGDP	ALL	AFRICA-EUROPE	10000
216804501.559217	486669	81056652897643	7.27731134369e-128	0.0140874226335108	15389933787	1.16670834567971e-09	4.45480271748754e-07	0.00261898992990137	0.997381010070099	0.999993140891747	HGDP	ALL	AFRICA-EUROPE	31623
681125350.411453	486669	800015360554937	2.98005845704567e-128	0.0139956592758415	48666900000	1.64460364735571e-10	1.39956592758415e-07	0.0011750812269305	0.998824918773069	0.99999861918411	HGDP	ALL	AFRICA-EUROPE	100000
2157750926.30114	486669	8028662793682830	2.23804435317538e-128	0.0140206671869899	153897877863	3.03466550839522e-11	4.43373500270055e-08	0.000684449004405279	0.999315550995595	0.99999953152956	HGDP	ALL	AFRICA-EUROPE	316228
6769826505.51322	486669	79030720642388500	2.04732950522537e-128	0.0139105357142395	486669000000	7.4414355578844e-12	1.39105357142395e-08	0.000534949603002492	0.999465050396998	0.999999713828922	HGDP	ALL	AFRICA-EUROPE	1000000
9126550066.24145	486669	143632989786140000	2.02544663958894e-128	0.0139242387709483	655443375855	5.32603846163177e-12	1.03387960090053e-08	0.000515150744534728	0.999484849255465	0.99999973461971	HGDP	ALL	AFRICA-EUROPE	pruneall
44913523888.1563	486669	3478355992295480000	1.94830901255207e-128	0.013084523937894	3432568437441	1.9312099545284e-12	1.85512169571722e-09	0.00104101523850799	0.998958984761492	0.999998916287273	HGDP	ALL	AFRICA-EUROPE	all
5399169.77127903	486669	62701140621	5.37814098129997e-86	0.0110941312704919	486669000	9.48802991241625e-07	1.10941312704918e-05	0.0855229641788406	0.914477035821159	0.992685822598065	HGDP	ALL	Lat	1000
17774010.498565	486669	550553972417	2.29474884060933e-120	0.0115502100810449	1538847378	9.69145424374479e-08	3.65281786244302e-06	0.0265314467041702	0.97346855329583	0.999296082335784	HGDP	ALL	Lat	3162
58496150.5402792	486669	5911146093954	4.02537963556071e-126	0.0120196993316359	4866690000	1.03704692812634e-08	1.20196993316359e-06	0.00862789408880495	0.991372105911195	0.999925559443592	HGDP	ALL	Lat	10000
176159119.779957	486669	53513379871830	9.82470070625597e-128	0.0114463858141326	15389933787	1.18597168656138e-09	3.61963944411746e-07	0.00327649122204366	0.996723508777956	0.999989264605272	HGDP	ALL	Lat	31623
572051224.558089	486669	564307326252304	3.22875794397684e-128	0.0117544208601347	48666900000	1.60176875415317e-10	1.17544208601347e-07	0.00136269474541753	0.998637305254583	0.999998143063031	HGDP	ALL	Lat	100000
1849470764.16433	486669	5898426947093530	2.28847082683204e-128	0.0120174816008508	153898364532	2.98908697892845e-11	3.80025854789922e-08	0.000786548320661186	0.999213451679339	0.999999381341739	HGDP	ALL	Lat	316228
5783241053.44841	486669	57674464936555400	2.0621317875974e-128	0.0118833269361624	486668513331	7.20038009403749e-12	1.18833388195013e-08	0.000605922308822941	0.999394077691177	0.999999632858156	HGDP	ALL	Lat	1000000
7778487785.39365	486669	104335272187062000	2.03619316693091e-128	0.0118675206309728	655443375855	5.15111444322458e-12	8.81167559351851e-09	0.000584578311872207	0.999415421688128	0.999999658268197	HGDP	ALL	Lat	pruneall
37427258067.488	486669	2415435343944410000	1.95027750057634e-128	0.010903572281108	3432568437441	1.97518427128488e-12	1.54590672121618e-09	0.00127768657977693	0.998722313420223	0.999998367517004	HGDP	ALL	Lat	all
1278961.2884305	486669	3527289502	6.74777760959981e-41	0.00262799004750764	486669000	9.58452230506013e-07	2.62799004750764e-06	0.364709231458088	0.635290768541912	0.866987176489251	HGDP	ALL	Long	1000
3463935.86123816	486669	21084105986	9.90004541511836e-94	0.0022509937702465	1538847378	9.88566718106169e-08	7.11889237902112e-07	0.138865242719416	0.861134757280584	0.980716444364478	HGDP	ALL	Long	3162
9481377.33636757	486669	155537604438	1.95087468802549e-115	0.00194821887902611	4866690000	1.08888595478696e-08	1.94821887902611e-07	0.0558913562798077	0.944108643720192	0.996876156293204	HGDP	ALL	Long	10000
28840938.4580721	486669	1436770792878	5.23030404201206e-124	0.00187401316063064	15389933787	1.14421860693215e-09	5.92610808788109e-08	0.0193080954644091	0.980691904535591	0.999627197449537	HGDP	ALL	Long	31623
90145658.8295223	486669	14012671632957	4.45293266230314e-127	0.0018522991772544	48666900000	1.48665342689262e-10	1.8522991772544e-08	0.00802598978150083	0.991974010218499	0.999935583488027	HGDP	ALL	Long	100000
