PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
1	0.0610070827079966	0.00372186414054034	0.0548298510265701	0.0671796446891732	0.00372186414054034	0.883044540473975	0.000249531495314953	SDS	e5	Han	even	all	pruneall
2	0.140865244714576	0.0198430171684973	0.134784958528763	0.146934923037255	0.0235648813090377	0.883044540473975	0.000108156081560816	SDS	e5	Han	even	all	pruneall
3	0.0530145935303387	0.00281054712718703	0.0468320177854822	0.0591931076369148	0.0263754284362247	0.883044540473975	9.5060150601506e-05	SDS	e5	Han	even	all	pruneall
4	-0.0119801089433429	0.000143523010294365	-0.0181767232082829	-0.00578257438455584	0.0265189514465191	0.883044540473975	8.80475804758048e-05	SDS	e5	Han	even	all	pruneall
5	-0.0458201955712498	0.00209949032218758	-0.0520033909565776	-0.0396334872332217	0.0286184417687067	0.883044540473975	7.74474744747448e-05	SDS	e5	Han	even	all	pruneall
6	-0.00464616497127485	2.15868489403015e-05	-0.0108438166325956	0.00155184364493589	0.028640028617647	0.883044540473975	6.75611756117561e-05	SDS	e5	Han	even	all	pruneall
7	-0.0163556732364744	0.000267508047018325	-0.0225513510919187	-0.0101587391187463	0.0289075366646653	0.883044540473975	6.7029570295703e-05	SDS	e5	Han	even	all	pruneall
8	0.00300879122461381	9.05282463331307e-06	-0.00318923217753533	0.00920658346488891	0.0289165894892986	0.883044540473975	6.64731647316473e-05	SDS	e5	Han	even	all	pruneall
9	-0.0043083846219601	1.85621780507423e-05	-0.0105060680043311	0.00188962976536227	0.0289351516673493	0.883044540473975	6.6169861698617e-05	SDS	e5	Han	even	all	pruneall
10	-0.00613404585662119	3.76265185711316e-05	-0.0123315409568976	6.3920501683721e-05	0.0289727781859205	0.883044540473975	6.58151581515815e-05	SDS	e5	Han	even	all	pruneall
11	-0.00066459585381807	4.4168764891217e-07	-0.00686253151421951	0.00553339086713708	0.0289732198735694	0.883044540473975	6.56061560615606e-05	SDS	e5	Han	even	all	pruneall
12	0.00722302751548916	5.21721264895135e-05	0.00102510947951869	0.0134203906387195	0.0290253920000589	0.883044540473975	6.54754547545475e-05	SDS	e5	Han	even	all	pruneall
13	0.0144583105465025	0.000209042743859104	0.00826108691160614	0.0206544235886314	0.029234434743918	0.883044540473975	6.54161541615416e-05	SDS	e5	Han	even	all	pruneall
14	0.00541742130776724	2.93484536258505e-05	-0.000780568829515431	0.0116149952394202	0.0292637831975439	0.883044540473975	6.52835528355284e-05	SDS	e5	Han	even	all	pruneall
15	0.00564761419506222	3.18955460962683e-05	-0.000550368998031306	0.0118451634985426	0.0292956787436401	0.883044540473975	6.52141521415214e-05	SDS	e5	Han	even	all	pruneall
16	0.00569243713905829	3.24038405821301e-05	-0.000505544625461799	0.0118899815705723	0.0293280825842222	0.883044540473975	6.51429514295143e-05	SDS	e5	Han	even	all	pruneall
17	0.000505295606000703	2.55323649443618e-07	-0.00569268615051346	0.00670323854090908	0.0293283379078717	0.883044540473975	6.50133501335013e-05	SDS	e5	Han	even	all	pruneall
18	0.00663159819748222	4.39780946528494e-05	0.000433652093489561	0.0128290348214163	0.0293723160025245	0.883044540473975	6.49805498054981e-05	SDS	e5	Han	even	all	pruneall
19	0.0014359982059729	2.06209084755738e-06	-0.00476200810529881	0.00763389419042824	0.0293743780933721	0.883044540473975	6.49117491174912e-05	SDS	e5	Han	even	all	pruneall
20	0.00523988867630997	2.74564333401214e-05	-0.000958106367903832	0.0114374811534778	0.0294018345267122	0.883044540473975	6.48745487454875e-05	SDS	e5	Han	even	all	pruneall
21	0.00785185051094993	6.16515564463047e-05	0.00165396707392455	0.0140491307313089	0.0294634860831585	0.883044540473975	6.48285482854829e-05	SDS	e5	Han	even	all	pruneall
22	-0.00377557793214827	1.4254988721725e-05	-0.00997330847593278	0.00242244268331786	0.0294777410718802	0.883044540473975	6.48014480144802e-05	SDS	e5	Han	even	all	pruneall
23	0.00598648529731326	3.58380062149478e-05	-0.00021148647782248	0.0121839971501774	0.0295135790780952	0.883044540473975	6.47678476784768e-05	SDS	e5	Han	even	all	pruneall
24	0.00670789521725143	4.49958582456247e-05	0.000509952490538189	0.0129053226028255	0.0295585749363408	0.883044540473975	6.46991469914699e-05	SDS	e5	Han	even	all	pruneall
25	-0.0111632316575016	0.000124617741039046	-0.0173599944596503	-0.00496561129656948	0.0296831926773799	0.883044540473975	6.46681466814668e-05	SDS	e5	Han	even	all	pruneall
