#FID	IID
2918186	2918186
1732381	1732381
3581493	3581493
1058669	1058669
4146029	4146029
3545526	3545526
5913276	5913276
2307592	2307592
3620845	3620845
3666293	3666293
2024975	2024975
5278417	5278417
4139062	4139062
3896516	3896516
5239889	5239889
1598473	1598473
2846716	2846716
5685880	5685880
2759309	2759309
1377606	1377606
4833589	4833589
4038096	4038096
5614077	5614077
2014713	2014713
4514740	4514740
3476535	3476535
3866727	3866727
5918375	5918375
2315434	2315434
3442515	3442515
3914660	3914660
2843067	2843067
3832471	3832471
4822350	4822350
3660202	3660202
1180391	1180391
2565259	2565259
4650721	4650721
5283252	5283252
5613157	5613157
3321684	3321684
3147502	3147502
5631456	5631456
1329375	1329375
3489832	3489832
2994191	2994191
3244208	3244208
1190325	1190325
1052166	1052166
2835571	2835571
5555760	5555760
2352047	2352047
4134769	4134769
4507396	4507396
1899474	1899474
1679291	1679291
1664327	1664327
5087910	5087910
2303034	2303034
1051438	1051438
2131580	2131580
4524927	4524927
2420504	2420504
4925033	4925033
3421486	3421486
1413942	1413942
2168145	2168145
4922247	4922247
2780703	2780703
1797930	1797930
5852305	5852305
1764075	1764075
2965252	2965252
4795411	4795411
4925326	4925326
5601918	5601918
2858960	2858960
4435286	4435286
5517545	5517545
4347093	4347093
2932002	2932002
5644096	5644096
2057945	2057945
3660483	3660483
5442829	5442829
5245465	5245465
3796599	3796599
4900999	4900999
3389214	3389214
4375541	4375541
2626784	2626784
1079709	1079709
3067154	3067154
4985183	4985183
2152771	2152771
2690368	2690368
1784853	1784853
2712026	2712026
3101421	3101421
3606115	3606115
2398728	2398728
4677494	4677494
1982827	1982827
5422516	5422516
4773905	4773905
5859006	5859006
2220233	2220233
5939597	5939597
2396549	2396549
2159431	2159431
2402691	2402691
3684670	3684670
2484900	2484900
2484401	2484401
2255567	2255567
3053873	3053873
5874111	5874111
5554550	5554550
5382768	5382768
3530827	3530827
4179788	4179788
2384594	2384594
3720921	3720921
5354150	5354150
4606767	4606767
1167601	1167601
5259509	5259509
4555623	4555623
1906046	1906046
5691376	5691376
5232092	5232092
1983035	1983035
3015941	3015941
1087550	1087550
3774250	3774250
1428853	1428853
3245980	3245980
5212242	5212242
3857710	3857710
4904379	4904379
2742087	2742087
3845478	3845478
3200365	3200365
2974144	2974144
3001684	3001684
5658853	5658853
4345864	4345864
1090516	1090516
4746115	4746115
4661901	4661901
4549690	4549690
1008464	1008464
4137183	4137183
